City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
206,Beira,-19.8436,34.8389,75.72,89,100,18.99,moderate rain,MZ
207,Ranikhet,29.65,79.4167,62.91,19,3,3.78,clear sky,IN
208,Bin Qirdan,33.1378,11.2197,71.42,32,0,13.15,clear sky,TN
209,Prieska,-29.6641,22.7474,63.32,71,99,10.22,light rain,ZA
210,Tarsus,36.9188,34.8784,66.58,85,0,2.73,clear sky,TR
211,Dera Bugti,29.0307,69.151,87.13,9,1,1.3,clear sky,PK
212,Putina,-15.4667,-69.4333,45.91,75,96,4.52,overcast clouds,PE
213,Marsh Harbour,26.5412,-77.0636,72.3,54,85,15.17,overcast clouds,BS
214,Belmonte,-15.8631,-38.8828,82.8,68,36,8.84,scattered clouds,BR
215,Sorland,67.667,12.6934,39.81,71,80,12.3,broken clouds,NO
216,Clyde River,70.4692,-68.5914,1.63,85,100,9.22,light snow,CA
217,Taoudenni,22.6783,-3.9836,93.88,4,0,13.98,clear sky,ML
218,Geraldton,-28.7667,114.6,63.01,67,100,9.22,overcast clouds,AU
219,Cape Canaveral,28.4058,-80.6048,71.98,37,0,9.22,clear sky,US
220,Morros,-9.4467,-46.3003,91.83,28,88,4.65,overcast clouds,BR
221,Cayenne,4.9333,-52.3333,84.24,1,75,18.41,broken clouds,GF
222,Talara,-4.5772,-81.2719,81.36,57,0,4.61,clear sky,PE
223,Khandbari,27.3747,87.2039,68.04,76,63,3.18,broken clouds,NP
224,Bengkulu,-3.8004,102.2655,77.76,83,100,3.83,overcast clouds,ID
225,Los Llanos De Aridane,28.6585,-17.9182,63.12,82,75,7.0,broken clouds,ES
226,Senges,-24.1128,-49.4636,81.91,61,66,7.27,broken clouds,BR
227,Bella Union,-30.2752,-57.6007,79.93,57,0,8.3,clear sky,UY
228,Port Hawkesbury,45.6169,-61.3485,56.89,78,0,9.22,clear sky,CA
229,Touros,-5.1989,-35.4608,86.61,65,42,15.9,scattered clouds,BR
230,Benjamin Aceval,-24.9667,-57.5667,82.6,53,58,2.86,broken clouds,PY
231,Tchollire,8.4022,14.1698,93.15,29,100,3.24,overcast clouds,CM
232,Gravdal,68.1214,13.5031,38.48,72,81,11.34,broken clouds,NO
233,Matara,5.9485,80.5353,77.81,87,52,7.92,broken clouds,LK
234,Leningradskiy,69.3833,178.4167,-23.8,96,59,5.08,broken clouds,RU
235,Aksarka,66.5606,67.7975,10.76,95,100,6.29,overcast clouds,RU
236,Gunzenhausen,49.1,10.75,43.57,83,9,12.44,clear sky,DE
237,Marzuq,14.4,46.4667,72.82,41,11,10.49,few clouds,YE
238,Birao,10.2849,22.7882,96.44,18,61,4.07,broken clouds,CF
239,Manaure,11.7751,-72.4445,88.07,52,100,17.52,overcast clouds,CO
240,Kembe,4.6228,21.8865,84.34,44,47,0.4,scattered clouds,CF
241,Andros Town,24.7,-77.7667,76.96,50,75,15.99,broken clouds,BS
242,Virginia Beach,36.8529,-75.978,59.05,48,54,5.01,broken clouds,US
243,Humberto De Campos,-2.5983,-43.4611,83.1,80,100,7.52,overcast clouds,BR
244,Togul,53.465,85.9128,28.04,92,79,8.75,broken clouds,RU
245,Rio Gallegos,-51.6226,-69.2181,44.65,93,100,3.44,overcast clouds,AR
246,Illapel,-31.6308,-71.1653,73.15,45,0,7.47,clear sky,CL
247,Muros,42.7762,-9.0603,68.68,59,87,6.46,overcast clouds,ES
248,Dovers,12.8833,-61.1833,83.79,70,56,18.99,broken clouds,VC
249,Talnakh,69.4865,88.3972,-2.79,98,100,3.2,overcast clouds,RU
250,Ponnani,10.767,75.9252,76.32,86,100,4.12,moderate rain,IN
251,Isabela,6.7085,121.9711,79.02,85,100,7.76,light rain,PH
252,Emba,48.8264,58.1442,50.56,70,95,18.41,overcast clouds,KZ
253,Sao Joao Da Barra,-21.6403,-41.0511,87.89,77,72,10.25,broken clouds,BR
254,Santa Cruz,-17.8,-63.1667,87.85,66,75,17.27,broken clouds,BO
255,Morondava,-20.2833,44.2833,81.9,77,59,11.05,broken clouds,MG
256,Bafq,31.6128,55.4107,84.34,7,100,8.03,overcast clouds,IR
257,Bastia,42.6667,9.3333,61.93,36,0,35.68,clear sky,FR
258,Shar,49.5886,81.0453,38.32,55,0,5.41,clear sky,KZ
259,Madzhalis,42.1217,47.8333,51.73,80,72,3.78,broken clouds,RU
260,Arlit,18.7369,7.3853,103.78,3,4,8.72,clear sky,NE
261,Khuzdar,27.7384,66.6434,78.53,7,7,1.63,clear sky,PK
262,Novoagansk,61.9449,76.6625,-5.46,100,48,4.18,scattered clouds,RU
263,Calderitas,18.55,-88.25,81.73,44,81,10.38,broken clouds,MX
264,Quatre Cocos,-20.2078,57.7625,78.91,78,13,12.91,few clouds,MU
265,Shrigonda,18.6167,74.6833,89.51,30,63,16.49,broken clouds,IN
266,Liverpool,53.4106,-2.9779,50.61,60,40,14.97,scattered clouds,GB
267,Palmares Do Sul,-30.2578,-50.5097,74.98,74,67,9.26,broken clouds,BR
268,San Andres,12.5847,-81.7006,86.02,66,40,19.57,scattered clouds,CO
269,Chadiza,-14.0678,32.4392,64.06,94,65,5.57,broken clouds,ZM
270,Zapolyarnyy,69.4154,30.8136,34.88,99,100,22.3,overcast clouds,RU
271,Klaksvik,62.2266,-6.589,36.52,62,100,14.2,overcast clouds,FO
272,Alta Gracia,-31.6529,-64.4283,80.89,42,13,14.88,few clouds,AR
273,Duku,11.2361,4.9073,103.66,17,66,2.13,broken clouds,NG
274,Selty,57.3132,52.1345,37.06,98,100,8.95,overcast clouds,RU
275,Giresun,40.5,38.5,37.71,76,19,6.13,few clouds,TR
276,Lagoa,39.05,-27.9833,55.96,67,99,36.55,overcast clouds,PT
277,Puerto Narino,-3.7703,-70.3831,81.19,89,99,3.2,overcast clouds,CO
278,Evans,33.5337,-82.1307,51.04,47,100,9.22,overcast clouds,US
279,Mahbubabad,17.6167,80.0167,85.08,61,73,13.78,broken clouds,IN
280,Dudinka,69.4058,86.1778,-2.38,100,92,2.98,overcast clouds,RU
281,Ulagan,50.6321,87.9563,23.97,84,98,4.65,overcast clouds,RU
282,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,83.34,81,97,3.74,overcast clouds,BR
283,Calabozo,8.9242,-67.4293,97.32,30,39,9.57,scattered clouds,VE
284,Chicama,-7.8447,-79.1469,68.54,63,98,8.3,overcast clouds,PE
285,Nuuk,64.1835,-51.7216,27.21,74,75,12.66,broken clouds,GL
286,Nevsehir,38.9167,34.6667,60.01,31,0,5.75,clear sky,TR
287,Polovinnoye,54.7914,65.9864,40.26,78,69,8.23,broken clouds,RU
288,Kathmandu,27.7167,85.3167,66.42,82,75,2.3,broken clouds,NP
289,Pizarro,4.9533,-77.366,78.98,84,100,4.9,overcast clouds,CO
290,Lunino,53.5918,45.2271,43.29,99,100,3.87,overcast clouds,RU
291,Straumen,63.8709,11.2999,39.2,81,100,7.43,overcast clouds,NO
292,Lubao,14.9167,120.55,78.87,74,96,3.02,overcast clouds,PH
293,Mayumba,-3.432,10.6554,77.83,87,99,10.29,overcast clouds,GA
294,Sagua La Grande,22.8067,-80.0756,79.79,44,53,15.57,broken clouds,CU
295,Esmeraldas,-19.7625,-44.3139,85.24,55,80,8.05,moderate rain,BR
296,Porbandar,21.6422,69.6093,82.8,64,5,7.34,clear sky,IN
297,Afsin,38.2477,36.914,58.12,41,0,3.11,clear sky,TR
298,Jhinjhana,29.5167,77.2167,86.52,8,0,1.57,clear sky,IN
299,Reyes,-14.3167,-67.3833,84.79,81,83,2.08,broken clouds,BO
300,Umm Lajj,25.0213,37.2685,77.22,72,46,4.45,scattered clouds,SA
301,Dalbandin,28.8947,64.4101,85.23,7,1,6.62,clear sky,PK
302,Veraval,20.9,70.3667,81.88,71,1,9.44,clear sky,IN
303,Surt,31.2089,16.5887,64.81,62,39,16.82,scattered clouds,LY
304,Hambantota,6.1241,81.1185,79.39,82,100,9.91,overcast clouds,LK
305,Murgab,37.4966,61.9714,76.87,38,100,9.22,overcast clouds,TM
306,Salinas,36.6777,-121.6555,60.76,69,0,6.91,clear sky,US
307,Leo,11.1,-2.1,103.03,19,88,5.97,overcast clouds,BF
308,Saint Anthony,45.0205,-93.218,48.94,31,0,3.44,clear sky,US
309,Trairi,-3.2778,-39.2689,77.61,87,100,9.35,overcast clouds,BR
310,Awjilah,29.1081,21.2869,79.97,14,87,8.37,overcast clouds,LY
311,Walker,30.7335,-95.5669,75.34,40,0,10.36,clear sky,US
312,Selu,19.4667,76.4667,94.44,14,63,3.13,broken clouds,IN
313,Saint-Pierre,-21.3393,55.4781,78.48,67,100,17.27,overcast clouds,RE
314,Luderitz,-26.6481,15.1594,66.72,57,0,1.54,clear sky,NA
315,Staroutkinsk,57.2302,59.3348,37.85,98,95,8.21,overcast clouds,RU
316,Yarada,17.65,83.2667,84.52,79,40,6.91,scattered clouds,IN
317,Angol,-37.8,-72.7167,63.66,62,38,7.7,scattered clouds,CL
318,Bambous Virieux,-20.3428,57.7575,79.05,83,40,6.91,scattered clouds,MU
319,Mount Darwin,-16.7725,31.5838,67.89,74,53,5.1,broken clouds,ZW
320,Talcahuano,-36.7167,-73.1167,58.68,77,75,14.97,broken clouds,CL
321,Jamsa,61.8642,25.19,33.15,78,99,11.05,overcast clouds,FI
322,Pontal Do Parana,-25.6533,-48.5128,85.98,74,81,6.71,broken clouds,BR
323,Pedernales,18.0384,-71.744,84.18,59,97,2.44,overcast clouds,DO
324,Mao,39.8885,4.2658,55.96,62,40,10.36,scattered clouds,ES
325,Naron,43.5167,-8.1528,66.56,67,98,2.15,overcast clouds,ES
326,Libreville,0.3925,9.4537,75.25,87,100,5.88,overcast clouds,GA
327,Sovetskiy,61.3614,63.5842,30.16,93,95,7.45,overcast clouds,RU
328,Svetlyy,54.675,20.1347,44.65,61,5,16.64,clear sky,RU
329,Krivosheino,57.3431,83.9261,22.86,93,97,8.86,overcast clouds,RU
330,Mahalapye,-23.1041,26.8142,63.59,78,100,8.25,overcast clouds,BW
331,Killybegs,54.6333,-8.45,47.91,55,98,4.23,overcast clouds,IE
332,Oussouye,12.485,-16.5469,104.18,38,38,12.84,scattered clouds,SN
333,Mogadishu,2.0371,45.3438,81.88,74,82,12.68,broken clouds,SO
334,Puerto Asis,0.5133,-76.5007,81.09,87,100,2.21,overcast clouds,CO
335,Lethem,3.3803,-59.7968,87.57,55,100,6.31,overcast clouds,GY
336,Alghero,40.5589,8.3181,57.29,51,0,10.36,clear sky,IT
337,Olinda,-8.0089,-34.8553,85.73,74,40,11.5,scattered clouds,BR
338,Shcherbinka,55.4997,37.5597,48.49,66,40,8.95,scattered clouds,RU
339,Gamba,-2.65,10.0,73.6,91,100,3.47,overcast clouds,GA
340,Aripuana,-9.1667,-60.6333,83.89,85,99,2.39,overcast clouds,BR
341,Cockburn Town,21.4612,-71.1419,82.36,61,40,20.71,scattered clouds,TC
342,Ostrovnoy,68.0531,39.5131,35.01,98,100,16.58,light snow,RU
343,Muisne,0.6,-80.0333,79.59,80,99,3.2,overcast clouds,EC
