City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
251,Isabela,PH,79.02,light rain,6.7085,121.9711,Isawad Resort
253,Sao Joao Da Barra,BR,87.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
254,Santa Cruz,BO,87.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
255,Morondava,MG,81.9,broken clouds,-20.2833,44.2833,La Case Bambou
256,Bafq,IR,84.34,overcast clouds,31.6128,55.4107,Alamdar Hotel
261,Khuzdar,PK,78.53,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
263,Calderitas,MX,81.73,broken clouds,18.55,-88.25,Hotel Hacienda Campestre
264,Quatre Cocos,MU,78.91,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
265,Shrigonda,IN,89.51,broken clouds,18.6167,74.6833,Hotel Dnyashwari
267,Palmares Do Sul,BR,74.98,broken clouds,-30.2578,-50.5097,Hotel Campos Dourados.
268,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
272,Alta Gracia,AR,80.89,few clouds,-31.6529,-64.4283,Hotel Ritz
277,Puerto Narino,CO,81.19,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
279,Mahbubabad,IN,85.08,broken clouds,17.6167,80.0167,District Collector Residence
282,Sao Gabriel Da Cachoeira,BR,83.34,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
283,Calabozo,VE,97.32,scattered clouds,8.9242,-67.4293,Hotel Giardini
284,Chicama,PE,68.54,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
288,Kathmandu,NP,66.42,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
289,Pizarro,CO,78.98,overcast clouds,4.9533,-77.366,Hotel Limonar
292,Lubao,PH,78.87,overcast clouds,14.9167,120.55,Hacienda Gracia
293,Mayumba,GA,77.83,overcast clouds,-3.432,10.6554,LIKWALE LODGE
294,Sagua La Grande,CU,79.79,broken clouds,22.8067,-80.0756,Hotel Telégrafo
295,Esmeraldas,BR,85.24,moderate rain,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
296,Porbandar,IN,82.8,clear sky,21.6422,69.6093,Lords Inn Porbandar
298,Jhinjhana,IN,86.52,clear sky,29.5167,77.2167,Ajanta saiting
300,Umm Lajj,SA,77.22,scattered clouds,25.0213,37.2685,Moon light Furnished Units
301,Dalbandin,PK,85.23,clear sky,28.8947,64.4101,Sanjrani House
302,Veraval,IN,81.88,clear sky,20.9,70.3667,Lords Inn Somnath
304,Hambantota,LK,79.39,overcast clouds,6.1241,81.1185,Bungalow 63
309,Trairi,BR,77.61,overcast clouds,-3.2778,-39.2689,janelas do mar
310,Awjilah,LY,79.97,overcast clouds,29.1081,21.2869,المنزل
311,Walker,US,75.34,clear sky,30.7335,-95.5669,"Holiday Inn Express & Suites Huntsville, an IHG Hotel"
312,Selu,IN,94.44,broken clouds,19.4667,76.4667,M D
313,Saint-Pierre,RE,78.48,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
316,Yarada,IN,84.52,scattered clouds,17.65,83.2667,Yarada Jungle Beach Resorts
318,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
